ENERGY/MEV , Li(11BH4-xDx x~64%) T.lt.3 BACK , ERR/B , Li(11BH4-xDx x~64%) T.lt.3 FORWARD , ERR/F , Li(11BH4-xDx x~64%) T.lt.3  , ERR/T
897.284 , 0.0117357 , 0.00451599 , 0.0128209 , 0.00480526 , 0.0122740 , 0.00329562
901.770 , 0.0150095 , 0.00512108 , 0.0191093 , 0.00591541 , 0.0170430 , 0.00390772
906.279 , 0.0125776 , 0.00471665 , 0.0249851 , 0.00679567 , 0.0187317 , 0.00412460
910.810 , 0.0149131 , 0.00520478 , 0.0158288 , 0.00538192 , 0.0153673 , 0.00374261
915.365 , 0.0175396 , 0.00559065 , 0.0176698 , 0.00562135 , 0.0176042 , 0.00396401
919.941 , 0.0178135 , 0.00563882 , 0.0120780 , 0.00461352 , 0.0149687 , 0.00364871
924.541 , 0.0159654 , 0.00532505 , 0.0184341 , 0.00576205 , 0.0171899 , 0.00392058
929.164 , 0.0153750 , 0.00528409 , 0.0170716 , 0.00558118 , 0.0162165 , 0.00384133
933.810 , 0.0187873 , 0.00587240 , 0.0216098 , 0.00620456 , 0.0201873 , 0.00426972
938.479 , 0.0207776 , 0.00608420 , 0.0193753 , 0.00594051 , 0.0200821 , 0.00425263
943.171 , 0.0174755 , 0.00563390 , 0.0182730 , 0.00571350 , 0.0178711 , 0.00401169
947.887 , 0.0273313 , 0.00708876 , 0.0174936 , 0.00561601 , 0.0224518 , 0.00453031
952.626 , 0.0243948 , 0.00666557 , 0.0164520 , 0.00543113 , 0.0204552 , 0.00430612
957.389 , 0.0206836 , 0.00605338 , 0.0270818 , 0.00708055 , 0.0238571 , 0.00465208
962.176 , 0.0170060 , 0.00548117 , 0.0199064 , 0.00605130 , 0.0184446 , 0.00407923
966.987 , 0.0156016 , 0.00535951 , 0.0142942 , 0.00520834 , 0.0149531 , 0.00373765
971.822 , 0.0205250 , 0.00614313 , 0.0141541 , 0.00517425 , 0.0173650 , 0.00402152
976.681 , 0.0271926 , 0.00711252 , 0.0114482 , 0.00466586 , 0.0193833 , 0.00426685
981.565 , 0.0206350 , 0.00616136 , 0.0163203 , 0.00553059 , 0.0184949 , 0.00414343
986.473 , 0.0203105 , 0.00612018 , 0.0185284 , 0.00591155 , 0.0194266 , 0.00425582
991.405 , 0.0197238 , 0.00606467 , 0.0130412 , 0.00489633 , 0.0164093 , 0.00390394
996.362 , 0.0222853 , 0.00755255 , 0.0184167 , 0.00679975 , 0.0203665 , 0.00508569
1000.00 , 0.0969184 , 0.0336990 , 0.0383306 , 0.0257404 , 0.0678588 , 0.0212478
