##Some comment
#q(1/A)	R	Err
0.055372	8.93916e-006	0
0.055234	6.70437e-006	0
0.055096	3.91088e-006	0
0.054958	1.67609e-006	0
0.05482	0	0
0.054682	0	0
0.054544	0	0
0.054406	0	0
0.054268	0	0
0.05413	0	0
0.053992	0	0
0.053854	0	0
0.053716	0	0
0.053578	0	0
0.05344	0	0
0.053302	0	0
0.053164	1.0629e-006	0
0.053026	3.1887e-006	0
0.052888	5.3145e-006	0
0.05275	7.4403e-006	0
0.052612	9.5661e-006	0
0.052474	9.5661e-006	0
0.052336	9.5661e-006	0
0.052198	1.10864e-005	0
0.05206	1.41648e-005	0
0.051922	1.87525e-005	0
0.051784	2.33521e-005	0
0.051646	2.83844e-005	0
0.051508	3.18467e-005	0
0.05137	3.32189e-005	0
0.051232	3.56292e-005	0
0.051094	3.73204e-005	0
0.050956	3.90322e-005	0
0.050818	4.21264e-005	0
0.05068	4.52526e-005	0
0.050542	4.60794e-005	0
0.050404	4.87868e-005	0
0.050266	4.92728e-005	0
0.050128	4.72351e-005	0
0.04999	4.46923e-005	0
0.049852	4.16987e-005	0
0.049714	4.1414e-005	0
0.049576	4.35093e-005	0
0.049438	4.70449e-005	0
0.0493	4.89419e-005	0
0.049162	4.70056e-005	0
0.049024	4.37571e-005	0
0.048886	4.0818e-005	0
0.048748	4.02396e-005	0
0.04861	4.2037e-005	0
0.048472	4.51232e-005	0
0.048334	4.82513e-005	0
0.048196	5.15445e-005	0
0.048058	5.39119e-005	0
0.04792	5.28177e-005	0
0.047782	5.06001e-005	0
0.047644	4.80103e-005	0
0.047506	4.55246e-005	0
0.047368	4.78743e-005	0
0.04723	5.2777e-005	0
0.047092	5.49459e-005	0
0.046954	5.7281e-005	0
0.046816	5.68088e-005	0
0.046678	5.42819e-005	0
0.04654	5.24905e-005	0
0.046402	4.93235e-005	0
0.046264	4.63697e-005	0
0.046126	4.5675e-005	0
0.045988	4.35211e-005	0
0.04585	4.11535e-005	0
0.045712	4.05189e-005	0
0.045574	3.86802e-005	0
0.045436	3.89488e-005	0
0.045298	3.80766e-005	0
0.04516	3.77194e-005	0
0.045022	3.86094e-005	0
0.044884	4.06932e-005	0
0.044746	4.2491e-005	0
0.044608	4.42942e-005	0
0.04447	4.64544e-005	0
0.044332	5.10524e-005	0
0.044194	5.52429e-005	0
0.044056	6.01654e-005	0
0.043918	6.54365e-005	0
0.04378	6.89573e-005	0
0.043642	7.04469e-005	0
0.043504	7.08877e-005	0
0.043366	7.13544e-005	0
0.043228	7.635e-005	0
0.04309	8.30757e-005	0
0.042952	8.91585e-005	0
0.042814	8.80695e-005	0
0.042676	9.00716e-005	0
0.042538	9.53154e-005	0
0.0424	0.000102999	0
0.042262	0.000106425	0
0.042124	0.000105141	0
0.041986	0.000103911	0
0.041848	0.000104091	0
0.04171	0.000102625	0
0.041572	0.00010038	0
0.041434	9.57059e-005	0
0.041296	9.09069e-005	0
0.041158	8.63473e-005	0
0.04102	8.54298e-005	0
0.040882	8.70515e-005	0
0.040744	8.82651e-005	0
0.040606	8.89089e-005	0
0.040468	8.96783e-005	0
0.04033	9.03228e-005	0
0.040192	9.18338e-005	0
0.040054	9.54948e-005	0
0.039916	9.72851e-005	0
0.039778	9.76313e-005	0
0.03964	9.32934e-005	0
0.039502	9.08128e-005	0
0.039364	8.85545e-005	0
0.039226	9.21441e-005	0
0.039088	0.000101647	0
0.03895	0.000108813	0
0.038812	0.000108766	0
0.038674	0.000109111	0
0.038536	0.000114439	0
0.038398	0.0001175	0
0.03826	0.000121038	0
0.038122	0.000121309	0
0.037984	0.000113053	0
0.037846	0.00011005	0
0.037708	0.000106491	0
0.03757	0.000114541	0
0.037432	0.000122705	0
0.037294	0.000122991	0
0.037156	0.000124284	0
0.037018	0.000127408	0
0.03688	0.000131614	0
0.036742	0.000134113	0
0.036604	0.000134307	0
0.036466	0.000129744	0
0.036328	0.000120824	0
0.03619	0.00012423	0
0.036052	0.000128044	0
