X , Y0 , E0
3.06 , -7.06777 , 0.00279561
3.07 , -7.42498 , 0.00280521
3.08 , -7.77072 , 0.00283705
3.09 , -8.09037 , 0.00288023
3.1 , -8.37211 , 0.00291993
3.11 , -8.60772 , 0.00294263
3.12 , -8.7932 , 0.00294071
3.13 , -8.92893 , 0.00291515
3.14 , -9.01956 , 0.00287508
3.15 , -9.07351 , 0.00283452
3.16 , -9.10217 , 0.00280752
3.17 , -9.11884 , 0.0028032
3.18 , -9.1375 , 0.0028226
3.19 , -9.1715 , 0.00285837
3.2 , -9.23227 , 0.00289735
3.21 , -9.32811 , 0.00292526
3.22 , -9.46331 , 0.00293166
3.23 , -9.63738 , 0.00291366
3.24 , -9.84482 , 0.00287698
3.25 , -10.0751 , 0.00283395
3.26 , -10.313 , 0.00279935
3.27 , -10.5397 , 0.00278525
3.28 , -10.7334 , 0.0027969
3.29 , -10.8708 , 0.00283096
3.3 , -10.9286 , 0.00287661
3.31 , -10.8851 , 0.00291931
3.32 , -10.7209 , 0.00294571
3.33 , -10.4211 , 0.00294815
3.34 , -9.9754 , 0.00292715
3.35 , -9.37949 , 0.00289104
3.36 , -8.63498 , 0.00285296
3.37 , -7.7496 , 0.00282621
3.38 , -6.73679 , 0.00281968
3.39 , -5.61514 , 0.00283486
3.4 , -4.40744 , 0.00286547
3.41 , -3.13969 , 0.00289983
3.42 , -1.83989 , 0.00292509
3.43 , -0.536894 , 0.0029318
3.44 , 0.74069 , 0.0029172
3.45 , 1.96552 , 0.00288622
3.46 , 3.11233 , 0.00284965
3.47 , 4.15853 , 0.00282031
3.48 , 5.08465 , 0.00280854
3.49 , 5.87449 , 0.00281855
3.5 , 6.51519 , 0.00284693
3.51 , 6.9971 , 0.0028839
3.52 , 7.31354 , 0.00291672
3.53 , 7.46061 , 0.00293417
3.54 , 7.43692 , 0.00293045
3.55 , 7.24342 , 0.0029072
3.56 , 6.88327 , 0.00287289
3.57 , 6.36182 , 0.00283978
3.58 , 5.68671 , 0.00281967
3.59 , 4.86791 , 0.00281971
3.6 , 3.91796 , 0.00283991
3.61 , 2.85201 , 0.00287317
3.62 , 1.68799 , 0.00290771
3.63 , 0.446438 , 0.00293126
3.64 , -0.849599 , 0.00293531
3.65 , -2.17502 , 0.00291811
3.66 , -3.50327 , 0.00288525
3.67 , -4.80706 , 0.00284778
3.68 , -6.05942 , 0.00281837
3.69 , -7.23468 , 0.00280696
3.7 , -8.30967 , 0.00281732
3.71 , -9.26475 , 0.00284585
3.72 , -10.0849 , 0.00288285
3.73 , -10.7605 , 0.00291591
3.74 , -11.2877 , 0.00293423
3.75 , -11.6691 , 0.00293228
3.76 , -11.9132 , 0.00291167
3.77 , -12.0341 , 0.00288043
3.78 , -12.0506 , 0.00285015
3.79 , -11.9851 , 0.00283186
3.8 , -11.8624 , 0.00283212
3.81 , -11.7076 , 0.0028508
3.82 , -11.5453 , 0.0028811
3.83 , -11.3977 , 0.00291205
3.84 , -11.2832 , 0.00293234
3.85 , -11.2155 , 0.00293432
3.86 , -11.2034 , 0.00291674
3.87 , -11.2497 , 0.00288518
3.88 , -11.3519 , 0.00285013
3.89 , -11.5031 , 0.00282337
3.9 , -11.692 , 0.00281392
3.91 , -11.905 , 0.0028249
3.92 , -12.1273 , 0.00285251
3.93 , -12.3442 , 0.0028874
3.94 , -12.5425 , 0.00291789
3.95 , -12.7116 , 0.00293404
3.96 , -12.8445 , 0.00293102
3.97 , -12.9377 , 0.00291069
3.98 , -12.9919 , 0.00288086
3.99 , -13.0104 , 0.00285245
4 , -12.9992 , 0.00283564
4.01 , -12.9649 , 0.00283628
4.02 , -12.9134 , 0.00285388
4.03 , -12.8479 , 0.00288185
4.04 , -12.7675 , 0.00290989
4.05 , -12.6657 , 0.00292764
4.06 , -12.5287 , 0.00292838
4.07 , -12.3354 , 0.00291144
4.08 , -12.0572 , 0.00288243
4.09 , -11.6582 , 0.00285132
4.1 , -11.0969 , 0.00282894
4.11 , -10.3282 , 0.00282322
4.12 , -9.30533 , 0.0028364
4.13 , -7.98363 , 0.00286424
4.14 , -6.32308 , 0.00289749
4.15 , -4.29183 , 0.00292509
4.16 , -1.86927 , 0.00293797
4.17 , 0.951317 , 0.00293217
4.18 , 4.1606 , 0.00291014
4.19 , 7.73184 , 0.00287984
4.2 , 11.6204 , 0.0028519
4.21 , 15.7643 , 0.00283595
4.22 , 20.0854 , 0.00283722
4.23 , 24.4923 , 0.00285485
4.24 , 28.8829 , 0.0028822
4.25 , 33.1488 , 0.00290927
4.26 , 37.1795 , 0.00292627
4.27 , 40.8668 , 0.00292708
4.28 , 44.1096 , 0.00291141
4.29 , 46.8178 , 0.00288488
4.3 , 48.9167 , 0.00285705
4.31 , 50.3497 , 0.00283807
4.32 , 51.0803 , 0.00283505
4.33 , 51.094 , 0.00284959
4.34 , 50.3981 , 0.0028771
4.35 , 49.0208 , 0.00290844
4.36 , 47.01 , 0.00293298
4.37 , 44.4306 , 0.00294228
4.38 , 41.3611 , 0.00293299
4.39 , 37.8903 , 0.00290799
4.4 , 34.1133 , 0.00287538
4.41 , 30.1276 , 0.00284571
4.42 , 26.0293 , 0.00282837
4.43 , 21.9101 , 0.00282846
4.44 , 17.8539 , 0.00284512
4.45 , 13.9344 , 0.002872
4.46 , 10.2143 , 0.00289955
4.47 , 6.74338 , 0.00291841
4.48 , 3.55865 , 0.00292268
4.49 , 0.684616 , 0.00291186
4.5 , -1.86604 , 0.00289094
4.51 , -4.0912 , 0.00286848
4.52 , -5.99789 , 0.00285351
4.53 , -7.60059 , 0.00285223
4.54 , -8.91964 , 0.00286579
4.55 , -9.97953 , 0.00288987
4.56 , -10.8075 , 0.00291619
4.57 , -11.432 , 0.00293546
4.58 , -11.8819 , 0.00294071
4.59 , -12.1855 , 0.00292975
4.6 , -12.3696 , 0.002906
4.61 , -12.4592 , 0.00287736
4.62 , -12.4773 , 0.00285342
4.63 , -12.444 , 0.00284221
4.64 , -12.3773 , 0.00284731
4.65 , -12.2918 , 0.0028667
4.66 , -12.1994 , 0.0028934
4.67 , -12.1087 , 0.00291797
4.68 , -12.0248 , 0.00293176
4.69 , -11.9497 , 0.00292993
4.7 , -11.8814 , 0.00291311
4.71 , -11.8145 , 0.00288714
4.72 , -11.7402 , 0.00286101
4.73 , -11.6466 , 0.00284371
4.74 , -11.5187 , 0.00284104
4.75 , -11.3397 , 0.00285367
4.76 , -11.0913 , 0.00287687
4.77 , -10.7546 , 0.00290228
4.78 , -10.3116 , 0.00292083
4.79 , -9.74591 , 0.002926
4.8 , -9.04382 , 0.00291609
4.81 , -8.19569 , 0.00289487
4.82 , -7.19666 , 0.00287023
4.83 , -6.04749 , 0.00285136
4.84 , -4.755 , 0.00284555
4.85 , -3.33236 , 0.00285553
4.86 , -1.79895 , 0.00287847
4.87 , -0.18001 , 0.00290689
4.88 , 1.49411 , 0.00293125
4.89 , 3.18889 , 0.00294323
4.9 , 4.86683 , 0.00293865
4.91 , 6.48884 , 0.00291894
4.92 , 8.01563 , 0.00289069
4.93 , 9.4092 , 0.00286339
4.94 , 10.6342 , 0.0028462
4.95 , 11.6593 , 0.0028448
4.96 , 12.458 , 0.00285947
4.97 , 13.0098 , 0.00288498
4.98 , 13.3008 , 0.00291245
4.99 , 13.3234 , 0.00293238
5 , 13.0773 , 0.00293796
5.01 , 12.5684 , 0.00292734
5.02 , 11.809 , 0.00290427
5.03 , 10.8169 , 0.00287674
5.04 , 9.61437 , 0.00285416
5.05 , 8.22785 , 0.00284415
5.06 , 6.68655 , 0.00284986
5.07 , 5.0217 , 0.00286897
5.08 , 3.26555 , 0.00289455
5.09 , 1.45052 , 0.00291754
5.1 , -0.391631 , 0.00292989
5.11 , -2.23056 , 0.00292745
5.12 , -4.03798 , 0.00291134
5.13 , -5.78822 , 0.00288756
5.14 , -7.45871 , 0.00286484
5.15 , -9.03031 , 0.00285156
5.16 , -10.4876 , 0.00285279
5.17 , -11.819 , 0.00286848
5.18 , -13.0169 , 0.00289347
5.19 , -14.0775 , 0.00291928
5.2 , -15.0006 , 0.00293703
5.21 , -15.7894 , 0.00294058
5.22 , -16.4498 , 0.00292862
5.23 , -16.9901 , 0.00290518
5.24 , -17.4199 , 0.0028782
5.25 , -17.7498 , 0.00285685
5.26 , -17.9899 , 0.00284832
5.27 , -18.1496 , 0.00285538
5.28 , -18.2362 , 0.00287546
5.29 , -18.2541 , 0.00290154
5.3 , -18.2047 , 0.00292461
5.31 , -18.0851 , 0.00293677
5.32 , -17.8884 , 0.00293394
5.33 , -17.6039 , 0.00291722
5.34 , -17.2168 , 0.00289243
5.35 , -16.7092 , 0.00286809
5.36 , -16.0614 , 0.00285238
5.37 , -15.2522 , 0.0028504
5.38 , -14.2614 , 0.00286239
5.39 , -13.0705 , 0.00288381
5.4 , -11.6647 , 0.00290695
5.41 , -10.0345 , 0.00292371
5.42 , -8.17704 , 0.00292848
5.43 , -6.09725 , 0.00292008
5.44 , -3.80887 , 0.0029021
5.45 , -1.33482 , 0.00288157
5.46 , 1.29277 , 0.00286645
5.47 , 4.03297 , 0.00286269
5.48 , 6.83706 , 0.00287211
5.49 , 9.64989 , 0.00289173
5.5 , 12.4116 , 0.00291477
5.51 , 15.06 , 0.00293307
5.52 , 17.5322 , 0.00293994
5.53 , 19.7681 , 0.00293263
5.54 , 21.7115 , 0.00291328
5.55 , 23.3134 , 0.00288828
5.56 , 24.5332 , 0.00286609
5.57 , 25.3408 , 0.00285426
5.58 , 25.7174 , 0.00285685
5.59 , 25.6562 , 0.00287295
5.6 , 25.1626 , 0.00289698
5.61 , 24.2537 , 0.00292062
5.62 , 22.9577 , 0.0029356
5.63 , 21.312 , 0.00293664
5.64 , 19.362 , 0.00292323
5.65 , 17.159 , 0.00289983
